frame_id,image_path,player_boxes_predicted,ball_boxes_predicted,player_TP,player_FP,player_FN,ball_TP,ball_FP,ball_FN,notes
online_match_01/frame_0000.jpg,data\frames\online_match_01\frame_0000.jpg,8,1,8,0,3,0,1,0,"ball box on crowd stands, not real ball"
online_match_01/frame_0001.jpg,data\frames\online_match_01\frame_0001.jpg,10,2,9,0,1,0,1,0,ball box on crowd stands
online_match_01/frame_0002.jpg,data\frames\online_match_01\frame_0002.jpg,11,1,9,0,1,0,1,0,ball box on crowd stands
online_match_01/frame_0003.jpg,data\frames\online_match_01\frame_0003.jpg,8,1,10,0,1,0,1,0,ball box on crowd stands
online_match_01/frame_0004.jpg,data\frames\online_match_01\frame_0004.jpg,7,3,10,0,1,0,3,0,"3 ball boxes, all on crowd stands"
online_match_01/frame_0005.jpg,data\frames\online_match_01\frame_0005.jpg,13,2,11,0,1,0,2,0,"2 ball boxes, both on crowd stands"
online_match_01/frame_0006.jpg,data\frames\online_match_01\frame_0006.jpg,9,0,8,0,0,0,0,0,"no ball detection, no ball clearly visible"
online_match_01/frame_0007.jpg,data\frames\online_match_01\frame_0007.jpg,10,1,10,0,1,0,1,0,ball box on crowd stands
online_match_01/frame_0008.jpg,data\frames\online_match_01\frame_0008.jpg,8,2,9,0,1,0,2,0,"2 ball boxes, both on crowd stands"
online_match_02/frame_0000.jpg,data\frames\online_match_02\frame_0000.jpg,7,2,9,0,1,0,2,0,ball boxes on scoreboard graphic digits
online_match_02/frame_0001.jpg,data\frames\online_match_02\frame_0001.jpg,13,0,12,0,2,0,0,1,"real ball visible on ground bottom-left, missed"
online_match_02/frame_0002.jpg,data\frames\online_match_02\frame_0002.jpg,10,0,9,0,1,0,0,0,"no ball detection, no ball clearly visible"
online_match_02/frame_0003.jpg,data\frames\online_match_02\frame_0003.jpg,10,1,10,0,1,0,1,0,ball box on scoreboard graphic digit
online_match_02/frame_0004.jpg,data\frames\online_match_02\frame_0004.jpg,9,0,9,0,2,0,0,0,"no ball detection, no ball clearly visible"
online_match_02/frame_0005.jpg,data\frames\online_match_02\frame_0005.jpg,12,0,10,0,1,0,0,0,"no ball detection, no ball clearly visible"
online_match_02/frame_0006.jpg,data\frames\online_match_02\frame_0006.jpg,5,0,5,0,6,0,0,0,"time-out huddle, players heavily clustered/occluded"
online_match_02/frame_0007.jpg,data\frames\online_match_02\frame_0007.jpg,9,0,10,0,1,0,0,0,"no ball detection, no ball clearly visible"
online_match_03/frame_0000.jpg,data\frames\online_match_03\frame_0000.jpg,8,0,9,0,1,0,0,0,"no ball detection, no ball clearly visible"
online_match_03/frame_0001.jpg,data\frames\online_match_03\frame_0001.jpg,10,0,8,0,1,0,0,0,"no ball detection, no ball clearly visible"
online_match_03/frame_0002.jpg,data\frames\online_match_03\frame_0002.jpg,8,0,8,0,1,0,0,0,"no ball detection, no ball clearly visible"
online_match_03/frame_0003.jpg,data\frames\online_match_03\frame_0003.jpg,10,0,9,0,2,0,0,0,"no ball detection, no ball clearly visible"
online_match_03/frame_0004.jpg,data\frames\online_match_03\frame_0004.jpg,13,0,10,0,1,0,0,0,"no ball detection, no ball clearly visible"
online_match_03/frame_0005.jpg,data\frames\online_match_03\frame_0005.jpg,11,0,9,0,1,0,0,0,"no ball detection, no ball clearly visible"
online_match_03/frame_0006.jpg,data\frames\online_match_03\frame_0006.jpg,12,0,10,0,1,0,0,0,"no ball detection, no ball clearly visible"
online_match_03/frame_0007.jpg,data\frames\online_match_03\frame_0007.jpg,12,0,10,0,2,0,0,0,"no ball detection, no ball clearly visible"
online_match_04/frame_0000.jpg,data\frames\online_match_04\frame_0000.jpg,11,0,9,0,1,0,0,0,"no ball detection, no ball clearly visible"
online_match_04/frame_0001.jpg,data\frames\online_match_04\frame_0001.jpg,11,1,10,0,2,0,1,1,"real ball visible on ground, missed; box elsewhere is FP"
online_match_04/frame_0002.jpg,data\frames\online_match_04\frame_0002.jpg,12,0,11,0,1,0,1,0,ball box in stands/corner area
online_match_04/frame_0003.jpg,data\frames\online_match_04\frame_0003.jpg,8,1,8,0,1,0,1,0,ball box in stands corner area
online_match_04/frame_0004.jpg,data\frames\online_match_04\frame_0004.jpg,9,1,9,0,1,0,0,0,"no ball detection, no ball clearly visible"
online_match_04/frame_0005.jpg,data\frames\online_match_04\frame_0005.jpg,11,0,9,0,1,0,0,0,"no ball detection, no ball clearly visible"
online_match_04/frame_0006.jpg,data\frames\online_match_04\frame_0006.jpg,12,0,9,0,1,0,0,0,"no ball detection, no ball clearly visible"
online_match_04/frame_0007.jpg,data\frames\online_match_04\frame_0007.jpg,8,0,8,0,2,0,0,0,"no ball detection, no ball clearly visible"
